url;Perfume;Brand;Country;Gender;rating_value;rating_count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
https://www.fragrantica.com/perfume/mugler/angel-704.html;angel;mugler;France;women;3.57;29722;1992;cotton candy, coconut, cassis, melon, jasmine, bergamot, pineapple, mandarin orange;honey, red berries, blackberry, plum, apricot, peach, jasmine, nutmeg, orchid, caraway, rose, lily-of-the-valley;patchouli, chocolate, caramel, vanilla, tonka bean, amber, musk, sandalwood;sweet;patchouli;fruity;warm spicy;caramel
https://www.fragrantica.com/perfume/dolce-gabbana/light-blue-485.html;light-blue;dolce-gabbana;Italy;women;3.84;29708;2001;sicilian lemon, apple, cedar, bellflower;bamboo, jasmine, white rose;cedar, musk, amber;citrus;woody;fresh;fruity;aromatic
https://www.fragrantica.com/perfume/chanel/coco-mademoiselle-611.html;coco-mademoiselle;chanel;France;women;4.12;29283;2001;orange, mandarin orange, bergamot, orange blossom;turkish rose, jasmine, mimosa, ylang-ylang;patchouli, white musk, vanilla, vetiver, tonka bean, opoponax;citrus;woody;patchouli;sweet;white floral
https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-14982.html;la-vie-est-belle;lancome;France;women;3.64;28982;2012;black currant, pear;iris, jasmine, orange blossom;praline, vanilla, patchouli, tonka bean;sweet;vanilla;fruity;patchouli;woody
https://www.fragrantica.com/perfume/tom-ford/black-orchid-1018.html;black-orchid;tom-ford;USA;women;3.91;26053;2006;truffle, gardenia, black currant, ylang-ylang, jasmine, bergamot, mandarin orange, amalfi lemon;orchid, spices, gardenia, fruity notes, ylang-ylang, jasmine, lotus;mexican chocolate, patchouli, vanille, incense, amber, sandalwood, vetiver, white musk;warm spicy;earthy;woody;sweet;amber
https://www.fragrantica.com/perfume/yves-saint-laurent/black-opium-25324.html;black-opium;yves-saint-laurent;France;women;3.93;25669;2014;pear, pink pepper, orange blossom;coffee, jasmine, bitter almond, licorice;vanilla, patchouli, cashmere wood, cedar;vanilla;coffee;sweet;warm spicy;white floral
https://www.fragrantica.com/perfume/dior/hypnotic-poison-219.html;hypnotic-poison;dior;France;women;4.09;25173;1998;coconut, plum, apricot;brazilian rosewood, jasmine, caraway, tuberose, rose, lily-of-the-valley;vanilla, almond, sandalwood, musk;vanilla;sweet;almond;fruity;nutty
https://www.fragrantica.com/perfume/dior/j-adore-210.html;j-adore;dior;France;women;3.78;25013;1999;pear, melon, magnolia, peach, mandarin orange, bergamot;jasmine, lily-of-the-valley, tuberose, freesia, rose, orchid, plum, violet;musk, vanilla, blackberry, cedar;white floral;floral;fruity;sweet;fresh
https://www.fragrantica.com/perfume/dior/sauvage-31861.html;sauvage;dior;France;men;3.88;23727;2015;calabrian bergamot, pepper;sichuan pepper, lavender, pink pepper, vetiver, patchouli, geranium, elemi;ambroxan, cedar, labdanum;fresh spicy;amber;citrus;aromatic;musky
https://www.fragrantica.com/perfume/tom-ford/tobacco-vanille-1825.html;tobacco-vanille;tom-ford;USA;unisex;4.23;22332;2007;tobacco leaf, spicy notes;vanilla, cacao, tonka bean, tobacco blossom;dried fruits, woody notes;vanilla;sweet;tobacco;warm spicy;fruity
https://www.fragrantica.com/perfume/hermes/terre-d-hermes-17.html;terre-d-hermes;hermes;France;men;4.28;21347;2006;orange, grapefruit;pepper, pelargonium, flint;vetiver, cedar, patchouli, benzoin;citrus;woody;fresh spicy;aromatic;earthy
https://www.fragrantica.com/perfume/versace/crystal-noir-631.html;crystal-noir;versace;Italy;women;3.92;21063;2004;pepper, ginger, cardamom;coconut, gardenia, orange blossom, peony;sandalwood, musk, amber;warm spicy;white floral;coconut;fresh spicy;lactonic
https://www.fragrantica.com/perfume/versace/eros-16657.html;eros;versace;Italy;men;4.08;20788;2012;mint, green apple, lemon;tonka bean, ambroxan, geranium;madagascar vanilla, virginian cedar, atlas cedar, vetiver, oakmoss;vanilla;aromatic;green;fresh spicy;amber
https://www.fragrantica.com/perfume/calvin-klein/euphoria-253.html;euphoria;calvin-klein;USA;women;3.83;20735;2005;pomegranate, persimmon, green accord;black orchid, lotus, champaca;mahogany, amber, black violet, whipped cream;woody;floral;sweet;powdery;amber
https://www.fragrantica.com/perfume/maison-francis-kurkdjian/baccarat-rouge-540-33519.html;baccarat-rouge-540;maison-francis-kurkdjian;France;unisex;3.86;20435;2015;saffron, jasmine;amberwood, ambergris;fir resin, cedar;woody;amber;warm spicy;fresh spicy;aromatic
https://www.fragrantica.com/perfume/versace/bright-crystal-632.html;bright-crystal;versace;Italy;women;3.73;20348;2006;yuzu, pomegranate, ice;peony, lotus, magnolia;musk, mahogany, amber;floral;citrus;fresh;woody;fresh spicy
https://www.fragrantica.com/perfume/chloe/chloe-eau-de-parfum-1733.html;chloe-eau-de-parfum;chloe;France;women;3.95;19739;2008;peony, litchi, freesia;rose, lily-of-the-valley, magnolia;virginia cedar, amber;floral;rose;fresh;fruity;white floral
https://www.fragrantica.com/perfume/creed/aventus-9828.html;aventus;creed;France;men;4.34;19581;2010;bergamot, black currant, apple, lemon, pink pepper;pineapple, patchouli, moroccan jasmine;birch, musk, oak moss, ambroxan, cedarwood;fruity;sweet;leather;woody;smoky
